Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/orders?user_id=3225&order_date=2022-04-11+19%3A39%3A48,1,0,41202.20059999701,41202.20059999701,41202.20059999701,41202.20059999701,4.0,0.00654915718479559,0.0,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
GET,/orders?user_id=3232,1,1,37663.670699999784,37663.670699999784,37663.670699999784,37663.670699999784,21.0,0.00654915718479559,0.00654915718479559,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
PUT,/orders?user_id=3252&order_date=2022-04-11+19%3A39%3A38,1,0,12051.071599998977,12051.071599998977,12051.071599998977,12051.071599998977,4.0,0.00654915718479559,0.0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
PUT,/orders?user_id=3252&order_date=2022-04-11+19%3A40%3A01,1,1,25372.153699998307,25372.153699998307,25372.153699998307,25372.153699998307,21.0,0.00654915718479559,0.00654915718479559,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
PUT,/orders?user_id=3259&order_date=2022-04-11+19%3A40%3A15,1,1,37184.28320000021,37184.28320000021,37184.28320000021,37184.28320000021,21.0,0.00654915718479559,0.00654915718479559,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
PUT,/orders?user_id=3284&order_date=2022-04-11+19%3A39%3A57,1,1,20264.314999996714,20264.314999996714,20264.314999996714,20264.314999996714,21.0,0.00654915718479559,0.00654915718479559,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
GET,/orders?user_id=3302,2,0,31000.0,35314.16270000045,30715.591600001062,39912.73379999984,19278.0,0.01309831436959118,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
GET,/orders?user_id=3305,1,0,100708.09420000296,100708.09420000296,100708.09420000296,100708.09420000296,16039.0,0.00654915718479559,0.0,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000
PUT,/orders?user_id=3307&order_date=2022-04-11+19%3A39%3A17,1,1,5769.759800001339,5769.759800001339,5769.759800001339,5769.759800001339,21.0,0.00654915718479559,0.00654915718479559,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800
PUT,/orders?user_id=3307&order_date=2022-04-11+19%3A39%3A36,1,0,9168.674399999873,9168.674399999873,9168.674399999873,9168.674399999873,4.0,0.00654915718479559,0.0,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200
PUT,/orders?user_id=3312&order_date=2022-04-11+19%3A39%3A50,1,0,36104.36839999966,36104.36839999966,36104.36839999966,36104.36839999966,4.0,0.00654915718479559,0.0,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
PUT,/orders?user_id=3338&order_date=2022-04-11+19%3A39%3A42,1,0,14889.341600002808,14889.341600002808,14889.341600002808,14889.341600002808,4.0,0.00654915718479559,0.0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
PUT,/orders?user_id=3338&order_date=2022-04-11+19%3A40%3A11,1,0,40248.95889999971,40248.95889999971,40248.95889999971,40248.95889999971,4.0,0.00654915718479559,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
GET,/orders?user_id=3351,2,0,11000.0,14391.757400002462,10847.203100001934,17936.31170000299,8668.0,0.01309831436959118,0.0,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
GET,/orders?user_id=3372,1,1,24934.16889999935,24934.16889999935,24934.16889999935,24934.16889999935,21.0,0.00654915718479559,0.00654915718479559,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/orders?user_id=3394,1,0,23082.824100001744,23082.824100001744,23082.824100001744,23082.824100001744,8565.0,0.00654915718479559,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
PUT,/orders?user_id=3397&order_date=2022-04-11+19%3A39%3A10,1,0,12769.105399998807,12769.105399998807,12769.105399998807,12769.105399998807,4.0,0.00654915718479559,0.0,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
PUT,/orders?user_id=3397&order_date=2022-04-11+19%3A39%3A35,1,0,8879.47239999994,8879.47239999994,8879.47239999994,8879.47239999994,4.0,0.00654915718479559,0.0,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900
GET,/orders?user_id=3415,1,0,19429.216299999098,19429.216299999098,19429.216299999098,19429.216299999098,2.0,0.00654915718479559,0.0,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
GET,/orders?user_id=3440,2,1,20000.0,32293.679849999535,19975.36069999842,44611.99900000065,2711.0,0.01309831436959118,0.00654915718479559,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
PUT,/orders?user_id=3447&order_date=2022-04-11+19%3A41%3A04,1,0,15194.351599999209,15194.351599999209,15194.351599999209,15194.351599999209,4.0,0.00654915718479559,0.0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
PUT,/orders?user_id=3455&order_date=2022-04-11+19%3A40%3A43,1,0,21831.058299998404,21831.058299998404,21831.058299998404,21831.058299998404,4.0,0.00654915718479559,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/orders?user_id=3464,2,0,19000.0,29878.766499999983,18836.97299999767,40920.5600000023,9458.0,0.01309831436959118,0.0,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
